,"Euro Area, EUR per USD","United Kingdom, GBP per USD"
11/1/1994,0.808618182,0.629677273
12/1/1994,0.824981818,0.641681818
1/1/1995,0.808295455,0.635313636
2/1/1995,0.79901,0.63619
3/1/1995,0.767704348,0.624952174
4/1/1995,0.75263,0.622105
5/1/1995,0.764691304,0.629713043
6/1/1995,0.758131818,0.626895455
7/1/1995,0.749661905,0.626852381
8/1/1995,0.772530435,0.638173913
9/1/1995,0.783233333,0.6417
10/1/1995,0.770509091,0.633804545
11/1/1995,0.771909091,0.640109091
12/1/1995,0.783757143,0.649109524
1/1/1996,0.791965217,0.65303913
2/1/1996,0.797666667,0.650871429
3/1/1996,0.797328571,0.654757143
4/1/1996,0.804236364,0.659722727
5/1/1996,0.8143,0.660230435
6/1/1996,0.80765,0.64862
7/1/1996,0.79606087,0.643491304
8/1/1996,0.788127273,0.644927273
9/1/1996,0.794685714,0.641166667
10/1/1996,0.797686957,0.63056087
11/1/1996,0.787080952,0.60152381
12/1/1996,0.804977273,0.60055
1/1/1997,0.825343478,0.602295652
2/1/1997,0.86318,0.615555
3/1/1997,0.872371429,0.621409524
4/1/1997,0.876995455,0.613672727
5/1/1997,0.874477273,0.6125
6/1/1997,0.884047619,0.608028571
7/1/1997,0.908095652,0.598773913
8/1/1997,0.934595238,0.623709524
9/1/1997,0.911172727,0.624386364
10/1/1997,0.893608696,0.612434783
11/1/1997,0.875565,0.59206
12/1/1997,0.898873913,0.6022
1/1/1998,0.919327273,0.611277273
2/1/1998,0.918115,0.609465
3/1/1998,0.921009091,0.601727273
4/1/1998,0.91465,0.597740909
5/1/1998,0.900738095,0.610619048
6/1/1998,0.9072,0.605804545
7/1/1998,0.909691304,0.608347826
8/1/1998,0.906266667,0.61207619
9/1/1998,0.8645,0.594440909
10/1/1998,0.831954545,0.589977273
11/1/1998,0.855490476,0.60172381
12/1/1998,0.850817391,0.598465217
1/1/1999,0.861828571,0.605514286
2/1/1999,0.89304,0.6144
3/1/1999,0.918830435,0.61656087
4/1/1999,0.934063636,0.6212
5/1/1999,0.941257143,0.619352381
6/1/1999,0.963881818,0.627040909
7/1/1999,0.965745455,0.635122727
8/1/1999,0.943031818,0.622563636
9/1/1999,0.951568182,0.615668182
10/1/1999,0.934742857,0.60342381
11/1/1999,0.968759091,0.616818182
12/1/1999,0.989313043,0.619852174
1/1/2000,0.987657143,0.609995238
2/1/2000,1.016828571,0.625057143
3/1/2000,1.036382609,0.632830435
4/1/2000,1.057205,0.63157
5/1/2000,1.103326087,0.663030435
6/1/2000,1.052627273,0.66275
7/1/2000,1.063909524,0.662795238
8/1/2000,1.105552174,0.671121739
9/1/2000,1.147661905,0.696795238
10/1/2000,1.171131818,0.689145455
11/1/2000,1.169036364,0.701518182
12/1/2000,1.111461905,0.683195238
1/1/2001,1.066743478,0.676765217
2/1/2001,1.08621,0.688255
3/1/2001,1.100395455,0.69195
4/1/2001,1.1212,0.696719048
5/1/2001,1.143291304,0.701104348
6/1/2001,1.172780952,0.713642857
7/1/2001,1.162272727,0.707309091
8/1/2001,1.110369565,0.696082609
9/1/2001,1.097545,0.68337
10/1/2001,1.103891304,0.688956522
11/1/2001,1.126072727,0.696604545
12/1/2001,1.1226,0.693933333
1/1/2002,1.132217391,0.697743478
2/1/2002,1.148815,0.702735
3/1/2002,1.140814286,0.702966667
4/1/2002,1.128413636,0.6929
5/1/2002,1.090586957,0.685091304
6/1/2002,1.04596,0.674055
7/1/2002,1.00773913,0.643313043
8/1/2002,1.022736364,0.650640909
9/1/2002,1.019361905,0.642638095
10/1/2002,1.018891304,0.642113043
11/1/2002,0.9982,0.636066667
12/1/2002,0.980295455,0.630068182
1/1/2003,0.94196087,0.618647826
2/1/2003,0.927835,0.621885
3/1/2003,0.925290476,0.631542857
4/1/2003,0.921259091,0.635290909
5/1/2003,0.864645455,0.616263636
6/1/2003,0.857085714,0.602252381
7/1/2003,0.879195652,0.615986957
8/1/2003,0.896838095,0.627409524
9/1/2003,0.889113636,0.620131818
10/1/2003,0.853934783,0.595713043
11/1/2003,0.853765,0.591685
12/1/2003,0.813147826,0.570643478
1/1/2004,0.792586364,0.549059091
2/1/2004,0.791265,0.53562
3/1/2004,0.81486087,0.547304348
4/1/2004,0.833913636,0.554640909
5/1/2004,0.832804762,0.55912381
6/1/2004,0.823490909,0.547245455
7/1/2004,0.815109091,0.542718182
8/1/2004,0.820295455,0.549440909
9/1/2004,0.818968182,0.558004545
10/1/2004,0.800314286,0.553633333
11/1/2004,0.769390909,0.537645455
12/1/2004,0.746108696,0.518817391
1/1/2005,0.762766667,0.532604762
2/1/2005,0.76848,0.530025
3/1/2005,0.758526087,0.525208696
4/1/2005,0.772833333,0.527466667
5/1/2005,0.788572727,0.539486364
6/1/2005,0.822595455,0.550077273
7/1/2005,0.83087619,0.571180952
8/1/2005,0.81323913,0.557252174
9/1/2005,0.816559091,0.553245455
10/1/2005,0.831852381,0.566914286
11/1/2005,0.84875,0.576613636
12/1/2005,0.843372727,0.573122727
1/1/2006,0.825845455,0.56635
2/1/2006,0.837805,0.572385
3/1/2006,0.831626087,0.573482609
4/1/2006,0.81504,0.56578
5/1/2006,0.783234783,0.5354
6/1/2006,0.790090909,0.542590909
7/1/2006,0.7882,0.542095238
8/1/2006,0.780413043,0.527752174
9/1/2006,0.786019048,0.530680952
10/1/2006,0.792790909,0.533236364
11/1/2006,0.776036364,0.523113636
12/1/2006,0.757214286,0.509328571
1/1/2007,0.769404348,0.5106
2/1/2007,0.764495,0.510725
3/1/2007,0.755163636,0.513604545
4/1/2007,0.739928571,0.503014286
